Initial Error,Final Error
0.0421844865687,0.0157730188535
0.110954129128,0.0221053928221
0.151093912736,0.0362254237962
0.109392634513,0.0662117178877
0.0737253779808,0.0224273775083
0.0698838580151,0.0170504479568
0.0649149602532,0.0264675131808
0.0581444101642,0.0467717366315
0.0834938214342,0.0423466934247
0.0716790420235,0.0259087816911
0.100205170483,0.0318622595626
0.13056227431,0.106360521365
0.12303351152,0.0777199774547
0.112491275391,0.0959067870919
0.0971548597553,0.073086840909
0.109545094506,0.0833378117496
