Initial Error,Final Error
0.0357280654837,0.0162243085038
0.101480810793,0.0185530471954
0.145769717935,0.0509315261855
0.106632619359,0.0387853634142
0.0712164157433,0.0192200815285
0.0662814315715,0.0111990019787
0.0639141911161,0.0269312309802
0.0609245716688,0.0255586556782
0.0846709486752,0.0506156169616
0.0727567775281,0.0284329835062
0.0994328931128,0.0269859344439
0.125609333362,0.0351070311448
0.118338656249,0.0507531598472
0.111840736488,0.062983102886
0.084358781802,0.0674450845896
0.111374941517,0.0461664225086
0.101657649852,0.0251261307068
0.0611272227993,0.0189738989867
0.100202956726,0.104308954432
0.0745973175932,0.02499410842
0.0590215720337,0.0248480472539
0.0880127637325,0.0178253915434
0.101569077377,0.0340909310818
0.0606995119311,0.0441059696261
0.0776021292546,0.0316415082501
0.11586026759,0.0607144234807
0.10080194886,0.0188869104904
0.114981460347,0.0219334478647
0.0897592197693,0.0252645564608
0.127538971155,0.088321025779
0.130115774397,0.121722346593
0.097278448207,0.0312645409459
0.119098466045,0.0267298620831
0.124074787649,0.0342287651241
0.0985380343094,0.0323288070149
0.0916477371137,0.0266607173856
0.0832026523983,0.0228557291737
0.107676578861,0.0186310997527
0.0937385360875,0.0303282584921
0.100383343766,0.0504734961616
0.057221316556,0.0227114034933
0.0644540438548,0.0149808788496
0.0803615512537,0.0192032929811
0.0558109199787,0.0203395895693
0.0912985801216,0.0167483439473
0.109661101471,0.0272721463957
0.0794515936162,0.0307854399999
0.098927464431,0.0261863785187
0.0784578375216,0.0200540659175
0.0881965878189,0.0376104655835
0.105069087877,0.0657674461519
0.13621037395,0.0165893528522
0.109223831144,0.0318934679244
0.0915909265236,0.0216642606182
0.0803306270316,0.0201204648708
0.138272934237,0.056365611472
0.0956332842863,0.0216412591296
0.0846364434438,0.0243430631598
0.075301085894,0.0466824691823
0.139441897822,0.0260925591207
0.0921645488672,0.0214179715799
0.0729203994329,0.020412850186
0.0500774934016,0.0182619103893
0.139185455164,0.0164889426172
0.0740156773282,0.0158576085937
0.0656059269562,0.0260308134875
0.0731041030557,0.0215884090466
0.102523562381,0.0364112067103
0.0472199634056,0.023025779567
0.121288413183,0.0227266534375
0.0986413294617,0.0225868996855
0.0516501499398,0.0295975606962
0.0845400174011,0.0193039996803
0.0533308593753,0.0211856089163
0.0926613088858,0.0230974302683
0.0463576874361,0.0191054205953
