Initial Error,Nov 2014 Impl Final Error,Initial Error,Menpo Master Final Error ,Final Error Difference
0.027478695,0.015260892,0.027478695,0.015261006,0.0000
0.111608521,0.023662008,0.111608521,0.023662498,0.0000
0.111683876,0.025382304,0.111683876,0.02538238,0.0000
0.101826344,0.033952373,0.101826344,0.03395224,0.0000
0.089015479,0.039667691,0.089015479,0.039667525,0.0000
0.149878426,0.024775877,0.149878426,0.0247758,0.0000
0.091792639,0.025099946,0.091792639,0.0250998,0.0000
0.123777686,0.024436465,0.123777686,0.02443646,0.0000
0.140623805,0.026191802,0.140623805,0.026191803,0.0000
0.094043242,0.039566733,0.094043242,0.039566895,0.0000
0.106106127,0.054633561,0.106106127,0.054632238,0.0000
0.077302461,0.017750098,0.077302461,0.017750124,0.0000
0.067590502,0.017635377,0.067590502,0.017635185,0.0000
0.091946924,0.020559571,0.091946924,0.020559872,0.0000
0.078586531,0.022742404,0.078586531,0.022742361,0.0000
0.129939638,0.026127869,0.129939638,0.026127618,0.0000
0.059688338,0.025365975,0.059688338,0.025365796,0.0000
0.085681747,0.020598754,0.085681747,0.020598797,0.0000
0.060554041,0.028409133,0.060554041,0.028409232,0.0000
0.075285232,0.037279727,0.075285232,0.037279558,0.0000
0.133016611,0.04927456,0.133016611,0.04927269,0.0000
0.065815572,0.025951288,0.065815572,0.02595105,0.0000
0.090360452,0.023953128,0.090360452,0.023953285,0.0000
0.101724696,0.039041047,0.101724696,0.039027059,0.0000
0.166174977,0.062101742,0.166174977,0.062102831,0.0000
0.131670911,0.019783545,0.131670911,0.019783419,0.0000
0.067100497,0.037929955,0.067100497,0.03792992,0.0000
0.100545872,0.02079621,0.100545872,0.020796217,0.0000
0.091383454,0.032155323,0.091383454,0.032154786,0.0000
0.125881163,0.028745265,0.125881163,0.028744973,0.0000
0.096418996,0.023389986,0.096418996,0.023390089,0.0000
0.091625681,0.027713351,0.091625681,0.027713462,0.0000
0.087314789,0.034740547,0.087314789,0.034740609,0.0000
0.042665281,0.018942224,0.042665281,0.018942104,0.0000
0.127960707,0.080984102,0.127960707,0.08098421,0.0000
0.101614487,0.032055875,0.101614487,0.032056191,0.0000
0.084173203,0.021089912,0.084173203,0.021089752,0.0000
0.055398992,0.019270854,0.055398992,0.019271178,0.0000
0.080130801,0.036368639,0.080130801,0.036368893,0.0000
0.089530808,0.026421677,0.089530808,0.026421719,0.0000
0.103861573,0.024356651,0.103861573,0.024356906,0.0000
0.059849233,0.018860572,0.059849233,0.018860496,0.0000
0.082402119,0.02083972,0.082402119,0.020839722,0.0000
0.075608777,0.016872395,0.075608777,0.016872193,0.0000
0.133815132,0.091434987,0.133815132,0.091435102,0.0000
0.106642264,0.026209939,0.106642264,0.026209907,0.0000
0.070554005,0.022876359,0.070554005,0.022876128,0.0000
0.06830608,0.028628428,0.06830608,0.02862363,0.0000
0.104898109,0.020917039,0.104898109,0.020917031,0.0000
0.122333093,0.072760893,0.122333093,0.072761218,0.0000
0.127396028,0.046495696,0.127396028,0.046490862,0.0000
0.065157163,0.023301119,0.065157163,0.023297894,0.0000
0.136279544,0.072958155,0.136279544,0.072969355,0.0000
0.117825707,0.033810358,0.117825707,0.033810343,0.0000
0.104228526,0.017708196,0.104228526,0.017708262,0.0000
0.095919935,0.032361051,0.095919935,0.032361,0.0000
0.06539872,0.016462629,0.06539872,0.016462765,0.0000
0.097459633,0.022495335,0.097459633,0.022495252,0.0000
0.085994942,0.02497761,0.085994942,0.024981817,0.0000
0.079026105,0.018348277,0.079026105,0.018348294,0.0000
0.064881954,0.016530276,0.064881954,0.016530322,0.0000
0.065895263,0.019940887,0.065895263,0.019940816,0.0000
0.045045961,0.017103328,0.045045961,0.017103336,0.0000
0.093238672,0.029634733,0.093238672,0.02963474,0.0000
0.082385945,0.023190319,0.082385945,0.023190307,0.0000
0.151697484,0.042458191,0.151697484,0.042458271,0.0000
0.103090018,0.029161087,0.103090018,0.029161094,0.0000
0.109519287,0.029386006,0.109519287,0.029385986,0.0000
0.096892971,0.030047963,0.096892971,0.030042466,0.0000
0.086096126,0.029625833,0.086096126,0.029625989,0.0000
0.087709871,0.017119898,0.087709871,0.017119899,0.0000
0.124828256,0.017530566,0.124828256,0.017530481,0.0000
0.13534791,0.026963049,0.13534791,0.026963275,0.0000
0.107772688,0.024263053,0.107772688,0.024263055,0.0000
0.126461512,0.025622422,0.126461512,0.025622341,0.0000
0.113694383,0.05741951,0.113694383,0.057419473,0.0000
0.051302441,0.014929917,0.051302441,0.014929898,0.0000
0.063271507,0.038948492,0.063271507,0.038948566,0.0000
0.047273907,0.02377305,0.047273907,0.023773011,0.0000
0.082389981,0.01958979,0.082389981,0.019589893,0.0000
0.092722566,0.039732982,0.092722566,0.039732734,0.0000
0.115546062,0.020558732,0.115546062,0.020558775,0.0000
0.088577612,0.031449277,0.088577612,0.031449379,0.0000
0.088068592,0.024775655,0.088068592,0.024757808,0.0000
0.088463614,0.018609175,0.088463614,0.018609183,0.0000
0.119501881,0.064120305,0.119501881,0.064120807,0.0000
0.048521148,0.021314346,0.048521148,0.021317649,0.0000
0.103182665,0.025247578,0.103182665,0.025248224,0.0000
0.1308122,0.031196718,0.1308122,0.031196791,0.0000
0.078802112,0.02380991,0.078802112,0.023809787,0.0000
0.050568074,0.016987063,0.050568074,0.016987231,0.0000
0.067579924,0.014257633,0.067579924,0.014257615,0.0000
0.041094365,0.014975227,0.041094365,0.014975248,0.0000
0.061331582,0.017078357,0.061331582,0.017078387,0.0000
0.103665068,0.026439677,0.103665068,0.026439339,0.0000
0.054775243,0.029285412,0.054775243,0.029285446,0.0000
0.09773862,0.025868651,0.09773862,0.025868655,0.0000
0.102314889,0.023202941,0.102314889,0.023202878,0.0000
0.11069822,0.022095266,0.11069822,0.022095375,0.0000
0.07463677,0.027856265,0.07463677,0.027856226,0.0000
0.040881743,0.019961539,0.040881743,0.019961455,0.0000
0.116657231,0.020936625,0.116657231,0.020936745,0.0000
0.110994965,0.025075058,0.110994965,0.025075114,0.0000
0.091002156,0.019686314,0.091002156,0.019686182,0.0000
0.096099622,0.015446075,0.096099622,0.015446111,0.0000
0.096243098,0.022582913,0.096243098,0.022582978,0.0000
0.100146463,0.026936293,0.100146463,0.026936274,0.0000
0.167464118,0.07249711,0.167464118,0.072535862,0.0000
0.06853607,0.036485575,0.06853607,0.036484991,0.0000
0.051425849,0.026858332,0.051425849,0.026858438,0.0000
0.038497951,0.015172352,0.038497951,0.015172323,0.0000
0.08922751,0.024706021,0.08922751,0.024706131,0.0000
0.080821634,0.018533789,0.080821634,0.018533907,0.0000
0.034602616,0.021811948,0.034602616,0.021811981,0.0000
0.099517347,0.028168499,0.099517347,0.028168395,0.0000
0.06658104,0.027725672,0.06658104,0.027725698,0.0000
0.085055019,0.039268131,0.085055019,0.039270407,0.0000
0.121060209,0.031486296,0.121060209,0.031486201,0.0000
0.056455046,0.02046201,0.056455046,0.020461994,0.0000
0.105543858,0.056237335,0.105543858,0.05623732,0.0000
0.101518918,0.020490798,0.101518918,0.020490812,0.0000
0.095905435,0.016676798,0.095905435,0.016676754,0.0000
0.078617117,0.01741525,0.078617117,0.0174151,0.0000
0.082036779,0.022436304,0.082036779,0.022436336,0.0000
0.115498447,0.039927877,0.115498447,0.039927895,0.0000
0.078541409,0.02296437,0.078541409,0.022964287,0.0000
0.059732071,0.023533432,0.059732071,0.02353342,0.0000
0.183031164,0.03680499,0.183031164,0.036804098,0.0000
0.12205959,0.026738916,0.12205959,0.026738745,0.0000
0.196358416,0.03237257,0.196358416,0.032372522,0.0000
0.091823079,0.031689432,0.091823079,0.031689066,0.0000
0.109654674,0.022374575,0.109654674,0.022374436,0.0000
0.059902818,0.025196038,0.059902818,0.025195996,0.0000
0.091602522,0.023026315,0.091602522,0.023026319,0.0000
0.109987672,0.065843699,0.109987672,0.065843617,0.0000
0.081523312,0.023321283,0.081523312,0.023323634,0.0000
0.124423418,0.023113824,0.124423418,0.023114088,0.0000
0.110962099,0.043754145,0.110962099,0.043754088,0.0000
0.069217358,0.052154792,0.069217358,0.052154619,0.0000
0.102748979,0.028284977,0.102748979,0.028285402,0.0000
0.052715004,0.029404871,0.052715004,0.029404829,0.0000
0.062968369,0.033897642,0.062968369,0.033897038,0.0000
0.126867315,0.039789775,0.126867315,0.039789557,0.0000
0.076614941,0.019301359,0.076614941,0.019301228,0.0000
0.109211367,0.056077332,0.109211367,0.056078392,0.0000
0.072713503,0.023031292,0.072713503,0.023031347,0.0000
0.078205172,0.026832632,0.078205172,0.02683253,0.0000
0.079616372,0.030182692,0.079616372,0.030182668,0.0000
0.099400895,0.030062041,0.099400895,0.03006163,0.0000
0.03760519,0.024278871,0.03760519,0.024278933,0.0000
0.05446504,0.019129934,0.05446504,0.01912993,0.0000
0.10798552,0.017165398,0.10798552,0.017165403,0.0000
0.117841666,0.045088349,0.117841666,0.045087793,0.0000
0.113969429,0.028175751,0.113969429,0.028175705,0.0000
0.115259207,0.025202744,0.115259207,0.025202732,0.0000
0.11697408,0.052221581,0.11697408,0.052218556,0.0000
0.131126705,0.027312534,0.131126705,0.027312645,0.0000
0.0617574,0.024563946,0.0617574,0.024564016,0.0000
0.102666602,0.0209745,0.102666602,0.020974445,0.0000
0.067500437,0.022656777,0.067500437,0.022656984,0.0000
0.111822536,0.02600485,0.111822536,0.026004856,0.0000
0.092410167,0.029890265,0.092410167,0.029890651,0.0000
0.110052816,0.04450473,0.110052816,0.044504836,0.0000
0.095669317,0.025358896,0.095669317,0.025358706,0.0000
0.08286084,0.023724629,0.08286084,0.023724366,0.0000
0.08741278,0.069465697,0.08741278,0.069465544,0.0000
0.06947871,0.026666465,0.06947871,0.026666414,0.0000
0.102729859,0.032398959,0.102729859,0.032398889,0.0000
0.100631257,0.026651232,0.100631257,0.026651261,0.0000
0.088920931,0.047581661,0.088920931,0.047581817,0.0000
0.108427395,0.018710643,0.108427395,0.01871056,0.0000
0.102266703,0.02318276,0.102266703,0.023182837,0.0000
0.108410945,0.026764883,0.108410945,0.026765038,0.0000
0.095223676,0.018946851,0.095223676,0.018946794,0.0000
0.051873805,0.016898876,0.051873805,0.016898863,0.0000
0.112432823,0.042687315,0.112432823,0.042687222,0.0000
0.066436092,0.022722466,0.066436092,0.022722333,0.0000
0.068873011,0.029385899,0.068873011,0.029385861,0.0000
0.088802621,0.025634707,0.088802621,0.025634539,0.0000
0.093044769,0.02692719,0.093044769,0.026926671,0.0000
0.116344232,0.030125105,0.116344232,0.030125194,0.0000
0.11393886,0.053163631,0.11393886,0.053126524,0.0000
0.079635347,0.022566805,0.079635347,0.022566944,0.0000
0.092657727,0.038427817,0.092657727,0.038427908,0.0000
0.129903628,0.039806115,0.129903628,0.039806453,0.0000
0.095738883,0.020896488,0.095738883,0.020896432,0.0000
0.098055374,0.02915995,0.098055374,0.029160007,0.0000
0.112783154,0.056537801,0.112783154,0.056537937,0.0000
0.079916436,0.047471638,0.079916436,0.047471696,0.0000
0.103866755,0.041837925,0.103866755,0.041837964,0.0000
0.096170508,0.019447237,0.096170508,0.019447153,0.0000
0.07860131,0.02318861,0.07860131,0.023188609,0.0000
0.070330665,0.017204341,0.070330665,0.017201327,0.0000
0.084109194,0.019371234,0.084109194,0.019371048,0.0000
0.085250645,0.021912401,0.085250645,0.02191236,0.0000
0.116413605,0.017594452,0.116413605,0.01759448,0.0000
0.088561221,0.018841637,0.088561221,0.018841694,0.0000
0.118590205,0.018350426,0.118590205,0.018350409,0.0000
0.119512879,0.018850049,0.119512879,0.018849656,0.0000
0.066876176,0.032351381,0.066876176,0.032351397,0.0000
0.057531323,0.027628959,0.057531323,0.027628857,0.0000
0.100005868,0.019150337,0.100005868,0.01915036,0.0000
0.064006355,0.02900099,0.064006355,0.029000956,0.0000
0.096295036,0.026867921,0.096295036,0.026867956,0.0000
0.088850741,0.053667079,0.088850741,0.053665889,0.0000
0.135532544,0.03947725,0.135532544,0.039477321,0.0000
0.061003914,0.024957227,0.061003914,0.024957424,0.0000
0.094933149,0.037361501,0.094933149,0.037361834,0.0000
0.095695509,0.029720211,0.095695509,0.0297202,0.0000
0.046823812,0.026241552,0.046823812,0.026241343,0.0000
0.101300302,0.020774865,0.101300302,0.020774917,0.0000
0.104464296,0.049569006,0.104464296,0.049569122,0.0000
0.080645401,0.013610564,0.080645401,0.013610558,0.0000
0.09898819,0.019111936,0.09898819,0.019111912,0.0000
0.071294476,0.017954897,0.071294476,0.017954934,0.0000
0.12662607,0.022262768,0.12662607,0.022262937,0.0000
0.079256328,0.028860655,0.079256328,0.028860687,0.0000
0.039539011,0.015829959,0.039539011,0.015829768,0.0000
0.066839683,0.018396278,0.066839683,0.018396266,0.0000
0.08665734,0.032319269,0.08665734,0.03231881,0.0000
0.044516896,0.024525302,0.044516896,0.024525311,0.0000
0.063775315,0.028183469,0.063775315,0.028183227,0.0000
0.107380273,0.027270099,0.107380273,0.027270123,0.0000
0.13917744,0.029335089,0.13917744,0.02933506,0.0000
0.133168286,0.027843321,0.133168286,0.027837007,0.0000
0.143626033,0.236405421,0.143626033,0.236405694,0.0000
0.08075012,0.021158775,0.08075012,0.021158906,0.0000
0.086343471,0.032910788,0.086343471,0.03291124,0.0000
0.122891865,0.023784094,0.122891865,0.023783843,0.0000
0.060408451,0.027639912,0.060408451,0.027639866,0.0000
0.0821837,0.025014538,0.0821837,0.025014415,0.0000
0.112985647,0.019158518,0.112985647,0.019158674,0.0000
0.10690204,0.084484186,0.10690204,0.084484326,0.0000
0.084464985,0.028596185,0.084464985,0.028596405,0.0000
0.08764756,0.029576835,0.08764756,0.029576842,0.0000
0.060080623,0.02205289,0.060080623,0.02205286,0.0000
0.101697407,0.070651713,0.101697407,0.070652065,0.0000
0.042867664,0.018888501,0.042867664,0.018888463,0.0000
0.092374018,0.025912429,0.092374018,0.025915212,0.0000
0.113131155,0.015257078,0.113131155,0.015256945,0.0000
0.143635178,0.054629786,0.143635178,0.05462978,0.0000
,,,,0.0003
